rho[g/cm^3]	MDsteps	P[GPa]	dP[GPa]	T[K]	dT[K]
6.217	4000	240.26	1.21	2000	93
5.500	4000	146.93	1.05	2000	91
4.890	3675	88.17	1.10	2001	90
4.366	6831	51.06	1.18	2000	94
3.915	4000	31.92	1.05	1999	86
3.524	6280	18.61	0.97	2000	90
3.183	1431	10.38	1.55	1998	266
3.029	4000	7.45	0.96	1999	93
2.885	5221	4.77	0.91	2000	96
2.750	1017	3.15	1.27	1999	98
2.698	4894	2.28	0.92	2001	102
2.623	4000	1.52	0.89	2000	93
2.503	1104	0.21	0.71	2001	99
2.391	5604	0.24	0.78	2001	95
2.187	3678	-1.37	0.70	1999	87
2.004	3496	-1.92	0.69	2001	97
1.842	1719	-2.15	0.51	2001	108

6.217	13000	242.93	1.60	2500	118
5.500	13000	150.86	1.32	2500	125
4.890	6129	90.73	1.48	2500	117
4.366	4415	54.34	1.91	2500	112
3.915	6446	33.60	1.26	2500	122
3.524	11123	20.22	1.29	2500	125
3.183	13000	11.61	1.12	2500	115
3.029	2807	8.13	1.12	2500	107
2.885	6046	5.73	1.05	2500	119
2.750	10036	4.02	0.96	2500	113
2.623	3717	2.11	0.86	2500	104
2.503	4562	0.94	0.92	2501	120
2.391	7762	0.34	0.83	2500	112
2.286	3753	-0.49	0.85	2500	119
2.187	5881	-0.96	0.87	2500	121
2.004	8009	-1.06	0.77	2500	124

6.217	8500	246.40	1.54	3000	134
5.500	20843	154.34	1.42	3000	139
5.183	4000	120.59	1.49	2999	142
4.890	8041	94.05	1.50	3000	152
4.366	6246	57.54	1.58	3000	145
4.132	3399	45.39	1.45	3000	162
3.915	4176	36.55	1.94	3001	148
3.524	5916	22.02	1.39	3000	138
3.183	8495	13.18	1.21	3000	142
3.029	5957	9.69	1.52	3000	126
2.885	4000	7.20	1.02	3000	131
2.803	4000	5.64	1.09	3000	135
2.750	9990	4.90	1.10	3000	133
2.698	4152	3.70	1.05	3000	141
2.623	9866	3.10	0.98	3000	136
2.562	4000	2.30	0.93	3001	136
2.503	4791	1.79	1.03	3000	147
2.447	4000	1.22	0.92	3000	150
2.391	5923	0.61	1.00	3000	137
2.327	1650	0.16	0.99	3002	129
2.286	3548	0.12	0.93	3000	138
2.245	3871	-0.09	1.10	3000	135
2.187	6217	-0.37	0.93	3000	149

5.500	4500	158.34	1.84	3500	166
5.183	5000	126.16	1.74	3500	169
4.890	5000	100.32	1.52	3500	156
4.366	60049	62.08	1.69	3500	164
3.915	7856	39.49	1.49	3499	159
3.524	3936	24.41	1.34	3500	172
3.183	4500	14.54	1.32	3501	157
3.029	4000	10.93	1.44	3499	161
2.885	4094	8.02	2.54	3500	1472
2.803	5038	6.95	1.12	3500	157
2.750	4000	5.85	1.09	3500	166
2.698	4000	4.97	1.17	3501	179
2.623	2000	4.12	1.05	3500	172
2.503	3950	2.74	1.05	3500	169
2.391	4500	1.55	1.06	3500	171
2.286	4000	0.82	0.91	3500	161
2.187	4500	0.23	1.18	3500	224
2.093	6237	-0.10	0.94	3499	159
2.004	3445	-0.41	0.92	3501	157

5.183	13632	129.47	2.03	4000	196
4.890	12000	104.62	1.72	4001	188
4.366	9500	66.44	1.75	4000	184
4.132	12194	53.08	1.69	4000	185
3.915	8795	42.47	1.74	4000	180
3.524	9500	26.70	1.42	4000	180
3.183	9500	16.48	1.38	3999	185
3.029	2457	12.72	1.27	4000	194
2.885	7620	9.76	1.22	4000	188
2.750	2000	7.10	1.05	4001	212
2.698	2000	6.38	1.17	3999	166
2.623	13739	5.19	1.18	4000	186
2.503	4601	3.62	1.16	3999	188
2.391	9500	2.53	1.06	4000	184
2.286	4355	1.81	1.01	4000	171
2.245	1517	1.45	1.05	4003	181
2.187	7846	0.96	0.96	4000	191
2.004	8755	0.08	0.93	4000	176
1.842	7502	-0.34	0.86	4000	188
1.697	7353	-0.47	0.81	4001	175

5.500	4000	167.76	2.22	4500	225
4.890	4000	108.38	1.94	4500	200
4.366	5461	70.57	1.85	4500	211
3.915	8000	45.59	1.71	4500	213
3.524	4000	29.16	1.62	4499	201
3.183	4888	18.29	1.48	4499	216
3.029	3674	14.22	1.25	4500	194
2.885	8000	11.04	1.23	4499	206
2.750	4000	8.57	1.22	4501	207
2.623	4000	6.54	1.20	4499	213
2.503	3918	4.97	1.18	4501	231
2.391	4438	3.57	1.01	4501	212
2.187	4000	1.66	0.96	4501	206
2.004	4000	0.76	0.89	4498	206
1.842	4707	0.02	0.84	4501	189

5.500	4000	172.87	2.23	5001	243
5.183	4000	139.88	2.05	5000	237
4.890	4000	113.30	2.11	4999	247
4.366	4000	74.49	1.92	5000	241
4.132	4000	59.84	1.98	4999	226
3.915	4000	48.72	1.75	4999	244
3.524	4000	31.80	1.58	4999	231
3.183	3615	20.36	1.43	4999	222
2.885	8000	12.60	1.32	5000	247
2.623	4000	7.62	1.18	4999	236
2.503	4000	6.10	1.08	4999	239
2.391	3963	4.70	1.05	5000	246
2.187	3939	2.74	1.05	5000	213
2.004	3753	1.33	0.91	4998	250
1.842	3833	0.72	0.87	5001	219
1.697	4353	0.31	0.82	5000	233

5.183	28069	145.20	2.42	5500	254
4.890	5441	118.08	2.17	5499	252
4.366	4839	78.34	2.01	5499	252
3.915	11428	51.93	1.86	5501	271
3.524	6180	34.01	1.66	5500	260
3.183	6255	22.44	1.55	5501	254
2.885	5883	14.33	1.43	5500	256
2.623	6164	9.19	1.22	5500	261
2.187	4931	3.59	1.04	5500	253
2.004	4713	2.22	1.00	5499	278
