V[Angstroms^3]	rho[g/cm^3]	P[GPa]	Pst.dev.[GPa]	T[K]	Tst.dev.[K]
1331.0	4.04	36.2	1.89	1994.22	131.97
1520.88	3.53	19.42	2.56	1995.31	131.5
1728.0	3.11	8.72	1.56	1994.66	149.13
1953.13	2.75	3.11	1.34	1995.34	141.81
2197.0	2.44	-0.42	1.13	1999.77	134.04
1000.0	5.37	140.12	2.65	2999.86	201.63
1157.63	4.64	75.48	2.76	2989.37	197.27
1331.0	4.04	41.25	4.18	3000.1	198.83
1728.0	3.11	11.32	1.61	2999.9	195.68
1953.13	2.75	4.73	1.51	3000.04	196.39
2197.0	2.44	1.25	1.39	2999.94	192.41
2460.38	2.18	-0.45	1.33	3000.32	201.81
1000.0	5.37	148.35	2.91	4000.3	267.26
1157.63	4.64	83.8	2.66	4000.27	256.86
1331.0	4.04	48.33	2.23	3999.62	256.87
1520.88	3.53	26.7	2.18	3999.86	278.33
1728.0	3.11	14.54	1.92	4000.98	268.29
1953.13	2.75	6.77	1.71	4000.75	270.06
2197.0	2.44	2.69	1.49	3999.97	260.05
2460.38	2.18	0.57	1.37	4000.01	262.61
2744.0	1.96	-0.19	1.3	4000.33	284.98
1000.0	5.37	157.57	3.2	5000.13	324.04
1157.63	4.64	92.36	2.97	5000.15	324.36
1331.0	4.04	53.96	2.68	5000.02	331.12
1520.88	3.53	31.06	2.32	5000.19	309.46
1728.0	3.11	17.53	2.06	4999.77	355.02
1953.13	2.75	9.38	1.82	5000.17	340.97
2197.0	2.44	4.64	1.59	5000.4	308.7
2460.38	2.18	2.12	1.63	4999.38	338.3
2744.0	1.96	0.59	1.41	4999.28	318.44
3048.63	1.76	0.11	1.24	5000.48	324.52
3375.0	1.59	-0.26	1.17	5000.17	339.03
