#a(Angstroms)   V(Angstroms^3) rho(g/cc)  P(GPa)    Pst.dev.(GPa)    T(K)   Tst.dev.(K)                  
11.00   1331.00 4.04    36.20   1.89    1994.22 131.97                  
11.50   1520.88 3.53    19.42   2.56    1995.31 131.50                  
12.00   1728.00 3.11    8.72    1.56    1994.66 149.13                  
12.50   1953.13 2.75    3.11    1.34    1995.34 141.81                  
13.00   2197.00 2.44    -0.42   1.13    1999.77 134.04                  

10.00   1000.00 5.37    140.12  2.65    2999.86 201.63                  
10.50   1157.63 4.64    75.48   2.76    2989.37 197.27                  
11.00   1331.00 4.04    41.25   4.18    3000.10 198.83                  
12.00   1728.00 3.11    11.32   1.61    2999.90 195.68                  
12.50   1953.13 2.75    4.73    1.51    3000.04 196.39                  
13.00   2197.00 2.44    1.25    1.39    2999.94 192.41                  
13.50   2460.38 2.18    -0.45   1.33    3000.32 201.81                  

10.00   1000.00 5.37    148.35  2.91    4000.30 267.26                      
10.50   1157.63 4.64    83.80   2.66    4000.27 256.86                      
11.00   1331.00 4.04    48.33   2.23    3999.62 256.87                      
11.50   1520.88 3.53    26.70   2.18    3999.86 278.33                      
12.00   1728.00 3.11    14.54   1.92    4000.98 268.29                      
12.50   1953.13 2.75    6.77    1.71    4000.75 270.06                      
13.00   2197.00 2.44    2.69    1.49    3999.97 260.05                      
13.50   2460.38 2.18    0.57    1.37    4000.01 262.61                      
14.00   2744.00 1.96    -0.19   1.30    4000.33 284.98                      

10.00   1000.00 5.37    157.57  3.20    5000.13 324.04                      
10.50   1157.63 4.64    92.36   2.97    5000.15 324.36                      
11.00   1331.00 4.04    53.96   2.68    5000.02 331.12                      
11.50   1520.88 3.53    31.06   2.32    5000.19 309.46                      
12.00   1728.00 3.11    17.53   2.06    4999.77 355.02                      
12.50   1953.13 2.75    9.38    1.82    5000.17 340.97                      
13.00   2197.00 2.44    4.64    1.59    5000.40 308.70                      
13.50   2460.38 2.18    2.12    1.63    4999.38 338.30                      
14.00   2744.00 1.96    0.59    1.41    4999.28 318.44                      
14.50   3048.63 1.76    0.11    1.24    5000.48 324.52                      
15.00   3375.00 1.59    -0.26   1.17    5000.17 339.03                      
